Index,Open,High,Low,Close,Volume,Adjusted
2011/4/20,163.100006,165.889999,162.190002,164.75,10891800,144.200803
2011/4/21,165.630005,168.449997,164.860001,168.279999,6158400,147.290506
2011/4/25,167.649994,168.770004,167.229996,167.669998,3583800,146.756591
2011/4/26,167.990005,169.199997,167.399994,168.490005,7300000,147.474319
2011/4/27,168.610001,170.589996,168.460007,170.369995,5299700,149.119818
2011/4/28,169.990005,171.380005,169.699997,170.779999,5087700,149.478682
2011/4/29,171.100006,173,170.479996,170.580002,5587700,149.303631
2011/5/2,172.110001,173.539993,171.490005,172.149994,5396200,150.677799
2011/5/3,172,173.479996,171.229996,172.869995,5007700,151.307994
2011/5/4,172.360001,172.619995,169.589996,170.619995,6890300,149.338636
2011/5/5,170.470001,170.869995,167.5,168.460007,7332000,147.448062
2011/5/6,169.029999,170.149994,168.240005,168.889999,4839400,148.485497
2011/5/9,168.389999,169.850006,168.309998,169.100006,3594800,148.670132
2011/5/10,169.25,170.899994,169.220001,170.380005,4934800,149.795487
2011/5/11,170.300003,170.520004,167.820007,169.5,4663200,149.0218
2011/5/12,169.649994,172.770004,168.649994,172.240005,5138500,151.430771
2011/5/13,171.699997,172.149994,169.440002,169.919998,5167400,149.391056
2011/5/16,169.809998,170.639999,168.309998,168.860001,4662200,148.459123
2011/5/17,167.850006,171.410004,166.529999,170.5,8773200,149.900985
2011/5/18,170.100006,171.190002,169.460007,170.440002,4154300,149.848236
2011/5/19,170.860001,171.399994,169.320007,170.589996,3538300,149.980108
2011/5/20,170.399994,171.149994,169.380005,170.160004,4869900,149.602066
2011/5/23,168.580002,168.690002,167.070007,168.259995,5144000,147.931607
2011/5/24,168.5,168.669998,167.509995,167.990005,4643600,147.694236
2011/5/25,167.630005,168.399994,167.509995,167.75,3882100,147.483227
2011/5/26,167.460007,167.5,165.899994,167.179993,5771300,146.982086
2011/5/27,167.910004,168.470001,167,167.5,3277600,147.263431
2011/5/31,168.440002,169.889999,167.820007,168.929993,9123400,148.520659
2011/6/1,168.899994,169.580002,166.5,166.559998,5134600,146.436995
2011/6/2,166.440002,167.100006,165.710007,166.089996,3854100,146.023778
2011/6/3,164.300003,165.889999,164.130005,165.050003,5230500,145.109431
2011/6/6,164.759995,165.580002,164.270004,164.75,3619700,144.845673
2011/6/7,165.110001,165.240005,163.610001,163.690002,4187000,143.91374
2011/6/8,163.270004,164.850006,163.259995,164.339996,3850800,144.485204
2011/6/9,165.009995,165.960007,164.759995,164.839996,4299800,144.924797
2011/6/10,164.570007,164.839996,162.869995,163.179993,4683300,143.465347
2011/6/13,164.440002,164.460007,162.729996,163.169998,5099200,143.45656
2011/6/14,163.869995,164.570007,163.649994,164.119995,7050000,144.291783
2011/6/15,162.75,163.410004,161.520004,162.330002,5225600,142.718048
2011/6/16,162.059998,163.630005,161.779999,162.669998,4861100,143.016968
2011/6/17,164.240005,165.100006,163.580002,164.440002,7149700,144.573128
2011/6/20,163.699997,165.610001,163.589996,165.020004,3956100,145.083057
2011/6/21,165.199997,166.75,164,166.220001,5387300,146.138076
2011/6/22,165.589996,166.809998,165.100006,165.679993,3960500,145.663309
2011/6/23,164.059998,166.729996,163.800003,166.119995,5271500,146.050152
2011/6/24,165.850006,165.940002,164.570007,165.070007,4402600,145.127019
2011/6/27,165.740005,168.240005,165.210007,167.619995,4446700,147.368929
2011/6/28,168.330002,170.699997,168.009995,170.009995,4850000,149.47018
2011/6/29,170.610001,170.860001,169.820007,170.539993,3817100,149.936147
2011/6/30,171.110001,172.449997,170.75,171.550003,5105200,150.824132
2011/7/1,171.610001,174.649994,171.490005,174.539993,5181700,153.452885
2011/7/5,173.520004,175.429993,173.520004,175.429993,4586500,154.235359
2011/7/6,175.190002,177.770004,175.089996,177.710007,5885900,156.239912
2011/7/7,176.779999,177.270004,176.119995,176.479996,5905600,155.158506
2011/7/8,175.490005,176.490005,175.009995,176.490005,4399900,155.167306
2011/7/11,174.899994,176.149994,174.610001,174.990005,4766500,153.848529
2011/7/12,174.929993,175.369995,173.889999,174.050003,5036800,153.022093
2011/7/13,174.899994,176.320007,174,174.320007,4074800,153.259477
2011/7/14,174.399994,176.100006,173.839996,174.229996,4613100,153.18034
2011/7/15,175.080002,175.940002,174.070007,175.539993,5347100,154.33207
2011/7/18,174.729996,176.460007,173.580002,175.279999,8879700,154.103487
2011/7/19,178.740005,185.210007,178.649994,185.210007,13245600,162.833797
2011/7/20,183.839996,184.419998,183,183.649994,5901100,161.462258
2011/7/21,183.589996,185.5,182.899994,184.899994,4958400,162.561239
2011/7/22,184.639999,185.630005,184.259995,185.179993,4516100,162.80741
2011/7/25,183.889999,184.960007,183.279999,183.699997,4987000,161.50622
